"kurtas/anouk/anouk-women-pink-printed-a-line-kurta/2323065/buy","Pink printed A-line kurta, has a round neck, three-quarter sleeves, flared hem, no slits","Cotton Machine-wash"
"kurtas/anouk/anouk-women-coral-orange-printed-straight-kurta/2323260/buy","Coral orange printed straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, side slits","Polyester  Machine-wash"
"kurtas/anouk/anouk-women-navy-blue--olive-green-printed-a-line-kurta/2294497/buy","Navy blue and olive green printed A-line kurta, has a round neck, three-quarter sleeves, flared hem","100% viscoseMachine-wash"
"kurtas/anouk/anouk-women-rust-red-yoke-design-a-line-kurta/2323029/buy","Rust red yoke design A-line kurta, has a keyhole neck, three-quarter sleeves, straight hem, side slits","100% cottonMachine-wash"
"kurtas/anouk/anouk-women-blue--grey-printed-straight-kurta/2370071/buy","Blue and grey printed straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits","70% cotton, 30% viscoseHand-wash"
"kurtas/anouk/anouk-women-purple-printed-a-line-kurta/2372236/buy","Purple printed A-line kurta, has a round neck, three-quarter sleeves, curved hem, no slits","100% cottonMachine-wash"
"kurtas/anouk/anouk-women-off-white-printed-a-line-kurta/2370059/buy","Off-white printed A-line kurta, has a shirt collar, three-quarter sleeves, curved hem, multiple slits","100% cottonHand-wash"
"kurtas/anouk/anouk-women-green--blue-striped-a-line-kurta/2322754/buy","Green and blue striped A-line kurta, has a round neck, three-quarter sleeves, flared hem","100% cottonHand-wash"
"kurtas/anouk/anouk-women-red-printed-anarkali-kurta/2372235/buy","Red printed Anarkali kurta, has a round neck, three-quarter sleeves, curved hem, no slits","100% cottonMachine-wash"
"kurtas/anouk/anouk-women-mustard-yellow--brown-printed-layered-a-line-kurta/2370008/buy","Mustard yellow and brown printed A-line layered kurta, has a round neck, short sleeves, straight hem, front slit","100% viscoseHand-wash"
"kurtas/anouk/anouk-women-blue--rust-orange-printed-a-line-kurta/2322887/buy","Blue and rust orange printed A-line kurta, has a round neck, short sleeves, asymmetric hem, no slits","100% polyesterHand-wash"
