"kurtas/anouk/anouk-women-pink-printed-a-line-kurta/2323065/buy","Pink printed A-line kurta, has a round neck, three-quarter sleeves, flared hem, no slits","Cotton Machine-wash"
"kurtas/anouk/anouk-women-beige-printed-kurta/1497880/buy","Beige and peach-coloured printed kurta with tassels, has a round neck, three-quarter sleeves, slit on the front and along the sides","Polyester Hand-wash"
"kurtas/anouk/anouk-green-printed-a-line-kurta/1681322/buy","Green and pink printed kurta, has a round neck, sleeveless, straight hem","100% cotton Machine-wash"
"kurtas/anouk/anouk-pink-printed-kurta/1770945/buy","Pink and orange printed kurta, has a mandarin collar, three-quarter sleeves, side slits","100% polyester  Machine-wash"
"kurtas/anouk/anouk-women-black--gold-toned-printed-a-line-kurta/2194217/buy","Black and gold-toned printed A-line kurta, has a round neck, sleeveless, straight hem, front slit","100% polyesterHand-wash"
"kurtas/anouk/anouk-women-magenta-solid-a-line-kurta/2128231/buy","Magenta solid A-line kurta, has a round neck, three-quarter sleeves, flared hem, no slits","100% cottonHand-wash"
"kurtas/anouk/anouk-women-blue--white-striped-a-line-kurta/1681280/buy","Blue and white striped A-line kurta, has a round neck with split V-neck, three-quarter sleeves, high-low hem","100% cotton  Machine-wash"
"kurtas/anouk/anouk-women-orange--white-printed-angrakha-kurta/1414166/buy","Orange and white printed Angrakha kurta, has a V-neck, short sleeves, flared hem, tie-ups on the sidesComes with a top, has a mandarin collar, sleeveless","100% rayon Hand-wash"
"kurtas/anouk/anouk-women-pink-printed-a-line-kurta/2194222/buy","Pink printed A-line kurta, has a shirt collar, three-quarter sleeves, straight hem, multiple slits","100% polyesterMachine-wash"
"kurtas/anouk/anouk-women-grey-solid-straight-kurta/2322928/buy","Grey solid straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits","100% cottonMachine-wash"
"kurtas/anouk/anouk-women-grey--pink-printed-a-line-kurta/2322831/buy","Grey and red printed A-line kurta, has a mandarin collar, three-quarter sleeves, straight hem, multiple slitsManufacturer Info: The Supply FactoryCountry of Origin: India","Polyester  Hand-wash"
"kurtas/anouk/anouk-women-navy-blue-printed-a-line-kurta/2038966/buy","Navy blue printed A-line kurta, has a round neck, three-quarter sleeves, straight hem, no slits","85% viscose, 15% polyesterHand-wash"
"kurtas/anouk/anouk-women-black--orange-printed-anarkali-kurta/2323146/buy","Black and orange printed Anarkali kurta, has a mandarin collar, long sleeves, curved hem","100% viscoseHand-wash"
"kurtas/anouk/anouk-women-blue-printed-straight-kurta/1789505/buy","Blue printed kurta, has a mandarin collar with a short button-and-loop placket, short sleeves, straight hem","100% polyester  Machine-wash"
"kurtas/anouk/anouk-women-orange-printed-a-line-kurta/2323060/buy","Orange woven design A-line kurta, has a round neck, three-quarter sleeves, high-low hem, side slitsManufacturer Info: Mokksha ClothingCountry of Origin: India","Viscose Rayon  Hand-wash"
"kurtas/anouk/anouk-women-brown--beige-printed-a-line-kurta/2322821/buy","Brown and beige printed A-line kurta, has off-shoulder styling, short sleeves, curved hem","100% cottonHand-wash"
"kurtas/anouk/anouk-women-orange-printed-straight-kurta/2021318/buy","Orange printed straight kurta, has a round neck, three-quarter sleeves, curved hem, side slits","100% polyesterHand-wash"
"kurtas/anouk/anouk-women-white--black-striped-straight-kurta/2323062/buy","White and black striped straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits","Cotton  Machine-wash"
"kurtas/anouk/anouk-women-red--orange-checked-a-line-kurta/2128223/buy","Red and orange checked A-line kurta, has an off-shoulder neck, three-quarter sleeves, flared hem, no slitsThis kurta can also be worn as dress","100% cottonHand-wash"
"kurtas/anouk/anouk-women-magenta-solid-straight-kurta/1427137/buy","Magenta solid straight kurta, has a mandarin collar, short sleeves, a short button placket, belt loops, high-low and curved hemComes with a fabric belt","RayonHand-wash"
"kurtas/anouk/anouk-women-red--gold-toned-printed-straight-kurta/1997985/buy","Red and gold-toned printed straight kurta, has a round neck, cap sleeves, curved hem, side slits","100% polyester Hand-wash"
"kurtas/anouk/anouk-women-black-printed-a-line-kurta/2037266/buy","Black printed A-line kurta, has a round neck, three-quarter sleeves, curved hem, front slit","85% viscose, 15% polyester  Hand-wash"
"kurtas/anouk/anouk-women-green-printed-a-line-kurta/1775966/buy","Green A-line kurta, has a round neck, three-quarter sleeves, embroidered detail","Polyester  Machine-wash"
"kurtas/anouk/anouk-women-beige-printed-a-line-kurta/2135505/buy","Beige printed A-line layered kurta, has a round neck, three-quarter sleeves, curved hem, no slits","Cotton  Hand-wash"
"kurtas/anouk/anouk-women-brown-printed-straight-kurta/1897447/buy","Brown printed straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits","100% polyester Machine-wash"
"kurtas/anouk/anouk-women-red-printed-a-line-kurta/2323052/buy","Red printed A-line kurta, has a round neck, three-quarter sleeves, straight hem, front slit","100% cottonHand-wash"
"kurtas/anouk/anouk-women-navy-blue-printed-a-line-kurta/2370010/buy","Navy blue printed A-line kurta, has a round neck, three-quarter sleeves, asymmetric hem, no slits","ViscoseMachine-wash"
"kurtas/anouk/anouk-women-mustard-yellow-solid-asymmetrical-hem-kurta/1542100/buy","Mustard yellow solid a-line kurta, has a round neck, short sleeve, asymmetric hem","100% rayon  Hand-wash"
"kurtas/anouk/anouk-women-red-printed-straight-kurta/1998006/buy","Red printed straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, side slits","Polyester Hand-wash"
"kurtas/anouk/anouk-women-blue-solid-chambray-a-line-kurta/1680900/buy","Blue solid A-line kurta, has a round neck, sleeveless, straight hem","100% cotton  Machine-wash"
"kurtas/anouk/anouk-women-blue-solid-straight-kurta/1777934/buy","Blue solid straight kurta, has a round neck, short sleeves, straight hem, front slit","100% cotton Machine-wash"
"kurtas/anouk/anouk-women-black-printed-a-line-layered-kurta/2021302/buy","Black printed A-line layered kurta, has a keyhole neck, short sleeves, curved hem","100% polyesterHand-wash"
"kurtas/anouk/anouk-women-off-white-printed-a-line-kurta/2038933/buy","Off-white printed A-line kurta, has a round neck, three-quarter sleeves, high-low hem, side slits","60% cotton, 40% viscoseHand-wash"
"kurtas/anouk/anouk-women-black-printed-a-line-kurta/2038939/buy","Black printed A-line kurta, has a round neck, three-quarter sleeves, straight hem","100% cotton Hand-wash"
"kurtas/anouk/anouk-women-off-white--blue-printed-a-line-kurta/2016029/buy","Off-white & blue printed A-line kurta, has a round neck, three-quarter sleeves, flared hem","Inner: 100% cottonOuter: 100% polyesterMachine-wash"
"kurtas/anouk/anouk-women-navy-blue-printed-straight-kurta/1781522/buy","Navy blue printed straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, multiple slits","100% cotton Hand-wash"
"kurtas/anouk/anouk-women-green-a-line-kurta/1427157/buy","Green A-line kurta with embroidered detail, has a round neck, three-quarter sleeves, asymmetric hem","88% cotton, 12% linenHand-wash"
"kurtas/anouk/anouk-women-red-and-navy-printed-a-line-kurta/1548325/buy","Red, off-white and navy blue printed A-line kurta, has a shirt collar, three-quarter sleeves, high-low hem","100% cotton  Hand-wash"
"kurtas/anouk/anouk-women-beige-printed-a-line-kurta/2021307/buy","Beige printed A-line kurta, has a V-neck, three-quarter sleeves, curved hem","100% polyesterHand-wash"
"kurtas/anouk/anouk-women-black--off-white-printed-a-line-kurta/2135038/buy","Black and off-white printed A-line kurta, has a round neck, sleeveless, straight hem","100% polyesterHand-wash"
"kurtas/anouk/anouk-women-olive-green-printed-a-line-kurta/2015848/buy","Olive green printed A-line kurta, has a round neck, three-quarter sleeves, flared hem","100% cottonMachine-wash"
"kurtas/anouk/anouk-women-blue--black-striped-straight-kurta/1714336/buy","Blue and black striped straight kurta with embroidered detail, has a mandarin collar, three-quarter sleeves with button-and-tab detail, straight hem, side slits","Polyester blendHand-wash"
"kurtas/anouk/anouk-women-black--grey-colourblocked-straight-kurta/2038903/buy","Black and grey colourblocked straight kurta, has a shirt collar, short sleeves, straight hem, side slits","100% cotton Hand-wash"
"kurtas/anouk/anouk-women-orange-yoke-design-straight-kurta/1997981/buy","Orange yoke design straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits","100% polyester  Hand-wash"
"kurtas/anouk/anouk-women-red--black-printed-straight-kurta/1679900/buy","Red and black printed straight kurta, has a round neck, three-quarter sleeves, high-low hem","100% polyester Machine-wash"
"kurtas/anouk/anouk-women-red-solid-a-line-kurta/1705031/buy","Red solid A-line kurta, has a shirt collar, a full button placket, three-quarter sleeves, a patch pocket, high-low hem","100% viscose Hand-wash"
"kurtas/anouk/anouk-women-white--mustard-yellow-printed-a-line-kurta/1707769/buy","White and mustard yellow printed A-line kurta, has a boat neck, three-quarter sleeves, flared hem, front slit","Rayon Hand-wash"
"kurtas/anouk/anouk-women-navy-blue-floral-print-straight-kurta/1495372/buy","Navy blue floral print straight kurta, has a round neck, three-quarter sleeves with roll-up tab features, straight hemComes with a lining","100% polyesterHand-wash"
"kurtas/anouk/anouk-women-sea-green-embroidered-kurta/1382041/buy","Sea green embroidered kurta, has a turtle neck, long sleeve, high-low hem","Acrylic  Hand-wash"
"kurtas/anouk/anouk-women-brown--yellow-printed-straight-kurta/1705907/buy","Brown and yellow printed straight kurta, has a round neck, three-quarter sleeves, slit on the front, straight hem","100% polyester Machine-wash"
"kurtas/anouk/anouk-women-yellow-embroidered-a-line-kurta/2037277/buy","Yellow and beige embroidered A-line kurta, has a V-neck, three-quarter sleeves, straight hem, no slits","85% viscose and 15% polyester Hand-wash"
"kurtas/anouk/anouk-women-multicoloured-printed-straight-kurta/1681372/buy","Multicoloured printed straight kurta, has a round neck, three-quarter sleeves, a slip pocket, side slits, straight hem","100% polyester Machine-wash"
"kurtas/anouk/anouk-women-red-woven-design-a-line-kurta/2370048/buy","Red and cream-coloured woven design A-line kurta, has a round neck, three-quarter sleeves, flared hem, side slits","100% polyesterHand-wash"
"kurtas/anouk/anouk-women-off-white--blue-printed-straight-kurta/1750291/buy","Off-white and blue printed kurta, has a round neck, short sleeves, straight hem","Cotton  Machine-wash"
"kurtas/anouk/anouk-women-purple--pink-printed-straight-kurta/1770952/buy","Purple and pink printed straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits","100% rayon  Machine-wash"
"kurtas/anouk/anouk-women-black--gold-toned-printed-a-line-kurta/1998002/buy","Black and gold-toned printed A-line kurta, has a mandarin collar, three-quarter sleeves with cold shoulder detail on one side, straight hem, front slit","100% polyester Hand-wash"
"kurtas/anouk/anouk-women-off-white--grey-printed-straight-kurta/2012113/buy","Off-white and grey printed straight kurta, has a round neck, sleeveless, curved hem, side slits","100% cotton  Hand-wash"
"kurtas/anouk/anouk-women-orange-printed-a-line-layered-kurta/2021301/buy","Orange printed A-line layered kurta, has a keyhole neck, short sleeves, curved hem","100% polyesterHand-wash"
"kurtas/anouk/anouk-women-black-printed-straight-kurta/2021317/buy","Black printed straight kurta, has a round neck, three-quarter sleeves, curved hem, side slits","100% polyesterHand-wash"
"kurtas/anouk/anouk-women-orange-printed-a-line-kurta/1997979/buy","Orange printed A-line kurta, has a round neck, three-quarter bell sleeves, straight hem, front slit","Polyester Hand-wash"
"kurtas/anouk/anouk-women-multicolour-printed-straight-kurta/1446665/buy","Multicoloured printed straight kurta, has a shirt collar, a short button placket,&nbsp;three-quarter sleeves with roll-up tab features, a slit on the front, side slits, and a&nbsp;straight hem","Polyester  Hand-wash"
"kurtas/anouk/anouk-women-maroon-printed-straight-kurta/2012162/buy","Maroon printed straight kurta, has a round neck, short sleeves, straight hem, no slits","Viscose Rayon  Machine-wash"
"kurtas/anouk/anouk-women-green--white-printed-a-line-kurta/1926942/buy","Green and white printed A-line kurta, has a mandarin collar, three-quarter sleeves, asymmetric hem","Cotton  Machine-wash"
"kurtas/anouk/anouk-women-orange-printed-straight-kurta/1997983/buy","Orange printed straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits","Polyester Hand-wash"
"kurtas/anouk/anouk-women-magenta--gold-toned-printed-a-line-kurta/1998001/buy","Magenta and gold-toned printed A-line kurta, has a round neck, three-quarter sleeves, straight hem, front slit","100% polyester Hand-wash"
"kurtas/anouk/anouk-women-green--purple-printed-a-line-kurta/2135945/buy","Green and purple printed A-line kurta, has a round neck, three-quarter sleeves, flared hem, no slits","100% cottonHand-wash"
"kurtas/anouk/anouk-women-green--yellow-printed-high-low-hem-a-line-kurta/2135497/buy","Green and yellow printed A-line kurta, has a round neck, three-quarter sleeves, high-low hem, no slits","Cotton Hand-wash"
"kurtas/anouk/anouk-women-grey--black-printed-chambray-a-line-kurta/1680881/buy","Grey and black printed A-line kurta, has a round neck, short raglan sleeves, high-low hem, two pockets, slits on the sides and back","100% cotton Machine-wash"
"kurtas/anouk/anouk-women-rust-red-printed-a-line-kurta/2017279/buy","Rust red and blue printed A-line kurta, has a round neck, three-quarter sleeves, flared hem","100% cotton  Hand-wash"
"kurtas/anouk/anouk-women-pink--black-printed-a-line-kurta/2017313/buy","Pink and black printed A-line kurta, has a V-neck, short sleeves, flared hem, front slit","100% cotton  Hand-wash"
"kurtas/anouk/anouk-women-blue--white-printed-straight-kurta/2012156/buy","Blue, white and yellow printed straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, side slits","Polyester  Machine-wash"
"kurtas/anouk/anouk-blue-solid-straight-kurta/1705226/buy","Blue solid straight kurta, has a mandarin collar, short sleeves, high-low hem","100% cotton Machine-wash"
"kurtas/anouk/anouk-women-blue-solid-a-line-kurta/1378701/buy","Blue solid A-line kurta, has a round neck, short sleeves, straight hem","Viscose  Hand-wash"
"kurtas/anouk/anouk-women-orange--white-printed-straight-kurta/1685294/buy","Orange and white printed straight kurta, has a round neck, sleeveless, curved hem, multiple slits","Polyester  Machine-wash"
"kurtas/anouk/anouk-women-green-embroidered-a-line-kurta/1435800/buy","Green embroidered A-line kurta, has a round neck, sleeveless, straight hem","Polyester blendHand-wash"
"kurtas/anouk/anouk-women-orange-solid-straight-kurta/1427151/buy","Orange solid straight kurta, has a mandarin collar, a button placket with a slit, three-quarter sleeves, straight hem","100% rayonHand-wash"
"kurtas/anouk/anouk-women-black--green-printed-straight-kurta/1681388/buy","Black and green printed straight kurta, has a round neck, sleeveless, high-low hem","100% polyester Machine-wash"
"kurtas/anouk/anouk-women-maroon-printed-straight-kurta/1846906/buy","Maroon printed straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, front slit","Viscose Machine-wash"
"kurtas/anouk/anouk-women-orange-printed-straight-kurta/1750286/buy","Orange printed straight kurta, has a V-neck, three-quarter sleeves, curved hem, side slits","Cotton  Machine-wash"
"kurtas/anouk/anouk-women-blue-solid-a-line-high-slit-kurta-with-printed-back/1685283/buy","Blue solid A-line high slit kurta, has a mandarin collar, sleeveless, multiple slits, high-low hem, printed back","100% polyester Machine-wash"
"kurtas/anouk/anouk-women-blue-printed-a-line-kurta/1681326/buy","Blue printed A-line kurta, has a round neck, three-quarter sleeves, straight hem, side slits","100% cotton Machine-wash"
"kurtas/anouk/anouk-women-blue-printed-straight-kurta/1681346/buy","Blue printed straight kurta, has a round neck, three-quarter sleeves, straight hem, multiple slits","100% cotton Machine-wash"
"kurtas/anouk/anouk-women-orange-embroidered-a-line-kurta/2038911/buy","Orange embroidered A-line kurta, has a round neck, three-quarter sleeves, two pockets, slightly flared hem, no slits","100% cottonHand-wash"
"kurtas/anouk/anouk-women-magenta-printed-straight-kurta/1497902/buy","Magenta printed straight kurta, has a round neck, three-quarter sleeves, straight hem","100% polyester Hand-wash"
"kurtas/anouk/anouk-women-brown-solid-a-line-kurta/1542086/buy","Brown and mustard yellow solid A-line kurta, has a round neck, three-quarter sleeves, tie-up detailing on both sides, flared hem","90% cotton, 10% flex Hand-wash"
"kurtas/anouk/anouk-women-black--blue-printed-straight-kurta/1848968/buy","Black and blue printed straight kurta, has a V-neck, three-quarter sleeves, straight hem, side slits","Polyester Machine-wash"
"kurtas/anouk/anouk-yellow-printed-a-line-kurta/1681353/buy","Yellow kurta, has a round neck, three-quarter sleeves, high-low hem","100% cotton Machine-wash"
"kurtas/anouk/anouk-women-red--beige-printed-a-line-kurta/2016829/buy","Red and beige printed A-line kurta, has a round neck, three-quarter sleeves, flared hem, no slits","Cotton  Hand-wash"
"kurtas/anouk/anouk-women-red-printed-straight-kurta/1848969/buy","Red printed straight kurta, has a V-neck, three-quarter sleeves, straight hem, side slits","Cotton  Machine-wash"
"kurtas/anouk/anouk-women-yellow-embroidered-a-line-kurta/1705909/buy","Yellow embroidered A-line kurta, has a round neck, long sleeves, straight hem","100% rayon  Machine-wash"
"kurtas/anouk/anouk-women-orange-printed-a-line-kurta/2194223/buy","Orange printed A-line kurta, has a shirt collar, three-quarter sleeves, straight hem, multiple slits","100% polyesterMachine-wash"
"kurtas/anouk/anouk-women-blue-chambray-a-line-kurta/1777918/buy","Blue A-line kurta, has a stylized shirt collar with mock button placket, long sleeves, straight hem, lace insert at the back","Chambray cotton Machine-wash"
"kurtas/anouk/anouk-women-black-printed-a-line-kurta/2038921/buy","Black printed A-line kurta, has a round neck, three-quarter sleeves, straight hem, no slits","Viscose and cotton blendHand-wash"
"kurtas/anouk/anouk-women-navy-printed-straight-kurta/2012177/buy","Navy printed straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits","100% rayonMachine-wash"
"kurtas/anouk/anouk-women-green-solid-kurta/1542122/buy","Green solid straight kurta, has a keyhole neck, three-quarter sleeve, slit on the front, curved hem","100% cotton  Hand-wash"
"kurtas/anouk/anouk-women-multicoloured-printed-straight-kurta/1683263/buy","Multicoloured printed straight kurta, has a mandarin collar, three-quarter sleeve, side slits, solid back","PolyesterHand-wash"
"kurtas/anouk/anouk-women-black-yoke-design-straight-kurta/1999984/buy","Black yoke design straight kurta, has a round neck, three-quarter sleeves, straight hem, multiple slits","100% cotton  Hand-wash"
"kurtas/anouk/anouk-women-red-solid-a-line-kurta/1679915/buy","Red solid A-line kurta, has a stylised mandarin collar, three-quarter sleeves, single button closure on the back which forms a keyhole, high-low hem","Polyester Machine-wash"
"kurtas/anouk/anouk-women-white-printed-straight-kurta/1860329/buy","White printed straight kurta, has a round neck, short extended sleeves, straight hem, no slits","100% polyester Machine-wash"
"kurtas/anouk/anouk-women-black-floral-print-straight-kurta/1495371/buy","Black and red floral print straight kurta, has a round neck, three-quarter sleeves with roll-up tab features, straight hemComes with a lining","100% polyesterHand-wash"
"kurtas/anouk/anouk-blue-printed-cold-shoulder-a-line-kurta/1796369/buy","Blue printed woven A-line kurta, has a round neck, short cold shoulder sleeves, side slits, an asymmetric hem","100% cotton Machine-wash"
"kurtas/anouk/anouk-women-magenta--purple-yoke-design-a-line-kurta/2128233/buy","Magenta and purple yoke deisgn A-line kurta, has a round neck, three-quarter sleeves, high-low hem, side slits","100% cottonHand-wash"
"kurtas/anouk/anouk-women-black--brown-printed-straight-kurta/2012153/buy","Black and brown printed straight kurta, has a mandarin collar, short sleeves, straight hem, side slits","Cotton  Machine-wash"
"kurtas/anouk/anouk-women-black-solid-a-line-kurta/1679928/buy","Black and red solid A-line kurta, has a mandarin collar with a split-V neck, three-quarter sleeves, curved hem","Polyester Machine-wash"
"kurtas/anouk/anouk-women-green--navy-blue-printed-a-line-kurta/2037261/buy","Green and navy blue printed A-line kurta, has a round neck, three-quarter sleeves, curved hem, no slits","Cotton Machine-wash"
"kurtas/anouk/anouk-women-black--blue-printed-a-line-kurta/1681396/buy","Black and blue printed A-line kurta, has a V-neck, three-quarter sleeves, asymmetric hem","100% polyester Machine-wash"
"kurtas/anouk/anouk-women-orange-printed-straight-kurta/2021323/buy","Orange printed straight kurta, has a round neck, cold shoulder long sleeves, straight hem, side slits","100% polyesterHand-wash"
"kurtas/anouk/anouk-women-beige--red-printed-a-line-kurta/1999988/buy","Beige and red printed A-line kurta, has a round neck, three-quarter sleeves, straight hem, side slits","100% cotton  Hand-wash"
"kurtas/anouk/anouk-women-pink-a-line-kurta/1997995/buy","Pink printed A-line kurta, has a keyhole neck, three-quarter cold-shoulder sleeves, straight hem, front slit","100% polyester Hand-wash"
"kurtas/anouk/anouk-pink-kurta/1385324/buy","Pink pattern woven kurta, has a V-neck, three-quarter sleeves, side slits","CottonMachine-wash"
"kurtas/anouk/anouk-women-brown--red-printed-a-line-kurta/2323270/buy","Brown and red printed A-line Angrakha kurta, has a V-neck, three-quarter sleeves, flared hem, no slits","Cotton  Hand-wash"
"kurtas/anouk/anouk-blue-printed-a-line-kurta/1680926/buy","Blue A-line kurta, has a round neck with a short button placket, three-quarter sleeves, a flap pocket, high-low hem","100% cotton Machine-wash"
"kurtas/anouk/anouk-women-black-embroidered-a-line-kurta/2011657/buy","Black embroidered anarkali kurta, has a mandarin collar, three-quarter sleeves, flared hem, front slit","Polyester Machine-wash"
"kurtas/anouk/anouk-women-blue-embroidered-a-line-kurta/2011660/buy","Blue embroidered A-line kurta, has a mandarin collar, three-quarter sleeves, flared hem, front slit","Polyester Machine-wash"
"kurtas/anouk/anouk-women-green-embroidered-straight-kurta/1714357/buy","Green woven straight kurta with embroidered detail, has a round neck, three-quarter sleeves, straight hem, side slits","Polyester blendHand-wash"
"kurtas/anouk/anouk-women-black-woven-design-a-line-kurta/1999976/buy","Black woven design A-line kurta, has a round neck, short sleeves, straight hem, side slits","100% cotton  Hand-wash"
"kurtas/anouk/anouk-women-black-printed-a-line-kurta/1998004/buy","Black printed A-line kurta, has a mandarin collar, short sleeves, straight hem, no slits","Polyester  Machine-wash"
"kurtas/anouk/anouk-women-blue-printed-a-line-kurta/1685297/buy","Blue printed kurta, has a boat neck, three-quarter sleeves, high-low hem","Polyester  Machine-wash"
"kurtas/anouk/anouk-women-orange-printed-a-line-kurta/1750278/buy","Orange printed A-Line kurta, has a mandarin collar, short sleeves, asymmetric hem","100% cotton  Machine-wash"
"kurtas/anouk/anouk-women-yellow-printed-straight-kurta/1885396/buy","Yellow printed straight kurta, has a round neck, three-quarter sleeves, high-low hem,side slits","100% cotton Hand-wash"
"kurtas/anouk/anouk-women-black--off-white-printed-straight-kurta/1707760/buy","Black and off-white printed straight kurta, has a mandarin collar, three-quarter sleeves, button placket, high-low hem","Rayon Hand-wash"
"kurtas/anouk/anouk-blue-printed-a-line-kurta/1681328/buy","Blue printed A-line kurta, has a mandarin collar with hook-and-eye closures, three-quarter sleeves, multiple slits, straight hem","100% cotton Machine-wash"
"kurtas/anouk/anouk-women-mustard-yellow-printed-straight-kurta/1860328/buy","Mustard yellow printed straight kurta, has a round neck, short extended sleeves, straight hem, no slits","100% polyester Machine-wash"
"kurtas/anouk/anouk-women-black-printed-straight-kurta/1999970/buy","Black printed straight kurta, has a V-neck, three-quarter sleeves, straight hem, side slits","Cotton  Hand-wash"
"kurtas/anouk/anouk-women-blue--off-white-printed-straight-kurta/2012161/buy","Blue and off-white printed straight kurta, has a round neck, short sleeves, straight hem, no slits","Polyester  Machine-wash"
"kurtas/anouk/anouk-women-magenta-solid-straight-kurta/1997997/buy","Magenta solid straight kurta, has a round neck with a button detailing, three-quarter sleeves, straight hem, side slits","Polyester Hand-wash"
"kurtas/anouk/anouk-women-black--red-solid-a-line-kurta/2140520/buy","Black and red solid A-line kurta, has a mandarin collar, three-quarter sleeves, flared hem","60% cotton, 40% viscoseMachine-wash"
"kurtas/anouk/anouk-women-red-printed-a-line-kurta/1999967/buy","Red printed A-line kurta, has a round neck, sleeveless, straight hem, side slits","100% cotton  Hand-wash"
"kurtas/anouk/anouk-women-black--off-white-printed-a-line-kurta/1705030/buy","Black and off-white A-line kurta, has a shirt collar, a full button placket, three-quarter sleeves, a patch pocket, high-low hem","100% polyester Hand-wash"
"kurtas/anouk/anouk-women-red-printed-a-line-kurta/1999983/buy","Red printed A-line kurta, has a round neck, short sleeves, straight hem, side slits","100% cotton  Hand-wash"
"kurtas/anouk/anouk-women-blue-yoke-design-a-line-kurta/1770975/buy","Blue printed kurta, has a mandarin collar, three-quarter sleeves, high-low hem","Polyester  Machine-wash"
"kurtas/anouk/anouk-women-olive-green-printed-a-line-kurta/2135034/buy","Olive green printed A-line kurta, has a mandarin collar, three-quarter sleeves, straight hem, side slits","PolyesterHand-wash"
"kurtas/anouk/anouk-women-brown-printed-a-line-kurta/2135035/buy","Brown printed A-line kurta, has a mandarin collar, three-quarter sleeves, straight hem, side slits","100% polyesterHand-wash"
"kurtas/anouk/anouk-women-blue-solid-high-low--kurta/1846842/buy","Blue solid straight kurta, has a round neck, three-quarter sleeves, high-low hem, no slits","Viscose  Hand-wash"
"kurtas/anouk/anouk-women-yellow--maroon-striped-a-line-kurta/1714334/buy","Yellow and maroon striped A-line kurta, has a mandarin collar, three-quarter sleeves, straight hem, side slits","100% cottonHand-wash"
"kurtas/anouk/anouk-women-pink-embroidered-a-line-kurta/1714358/buy","Pink woven A-line kurta with embroidered detail, has a round neck, three-quarter sleeves, straight hem, side slits","Polyester blendHand-wash"
"kurtas/anouk/anouk-women-pink-checked-a-line-kurta/2323212/buy","Pink checked A-line kurta, has a round neck, long sleeves, flared hem, no slits","Cotton  Hand-wash"
"kurtas/anouk/anouk-women-green--grey-colourblock-a-line-kurta/1708167/buy","Green and black colourblock A-line kurta, has a round neck, sleeveless, slits on the front and sides","100% cottonMachine-wash"
"kurtas/anouk/anouk-women-black-printed-straight-kurta/1999974/buy","Black printed straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, side slits","Cotton  Hand-wash"
"kurtas/anouk/anouk-women-blue--off-white-printed-straight-kurta/1681389/buy","Blue and off-white printed straight kurta, has a round neck with short button placket, sleeveless, straight hem","100% polyester Machine-wash"
"kurtas/anouk/anouk-women-pink--white-printed-a-line-kurta/2323198/buy","Pink and white printed A-line kurta, has a round neck, long sleeves, slightly flared hem, no slits","Cotton Hand-wash"
"kurtas/anouk/anouk-women-blue-printed-a-line-kurta/2323213/buy","Blue printed A-line kurta, has a round neck, three-quarter sleeves, straight hem","100% cottonHand-wash"
"kurtas/anouk/anouk-women-pink-solid-a-line-kurta/2323208/buy","Pink solid A-line kurta, has a shirt collar, short sleeves, curved hem, front slit","Cotton Hand-wash"
"kurtas/anouk/anouk-women-black-printed-straight-kurta/1999982/buy","Black printed straight kurta, has a V-neck, three-quarter sleeves, straight hem, side slits","Cotton  Hand-wash"
"kurtas/anouk/anouk-women-navy--white-printed-a-line-kurta/1714342/buy","Navy blue and white printed A-line kurta, has a mandarin collar with and embroidered applique detail, three-quarter sleeves, flared hem","Polyester blendHand-wash"
"kurtas/anouk/anouk-women-blue--white-checked-a-line-kurta/2323211/buy","Blue and white checked A-line kurta, has a round neck, three-quarter sleeves, flared hem, no slits","Cotton Hand-wash"
"kurtas/anouk/anouk-women-beige-solid-straight-kurta/2021322/buy","Beige solid straight kurta, has a round neck, three-quarter sleeves, straight hem, multiple slits","Polyester  Machine-wash"
"kurtas/anouk/anouk-women-orange--white-printed-a-line-kurta/1685304/buy","Orange and white printed A-line kurta, has a round neck, sleeveless, curved hem, no slits","100% polyester Machine-wash"
"kurtas/anouk/anouk-women-navy-printed-a-line-kurta/1548519/buy","Navy blue printed A-line kurta, has a shirt collar, a full button placket, three-quarter sleeves, asymmetric hem","100% cotton Machine-wash"
"kurtas/anouk/anouk-women-white--blue-printed-straight-kurta/1685288/buy","White and blue printed Straight kurta, has a round neck, three-quarter sleeves, straight hem","Polyester  Machine-wash"
"kurtas/anouk/anouk-women-green--black-printed-kurta/1681390/buy","Green and black printed kurta, has a notched round neck, three-quarter sleeve, side slits, solid back","100% polyester Machine-wash"
"kurtas/anouk/anouk-blue--white-printed-a-line-kurta/1685281/buy","Blue and white printed A-line kurta, has a mandarin collar, sleeveless, straight hem","100% polyester Machine-wash"
"kurtas/anouk/anouk-women-blue--white-striped-a-line-kurta/2323197/buy","Blue and white striped A-line fusion kurta, has a round neck, long flared sleeves, slightly flared hem, no slits","Cotton  Hand-wash"
