"kurtas/anouk/anouk-women-red-embroidered-straight-kurta/2322847/buy","Red embroidered straight kurta, has a round neck, three-quarter sleeves, straight hem, no slits","100% cottonHand-wash"
"kurtas/anouk/anouk-women-cream-coloured-printed-straight-kurta/2135033/buy","Cream-Coloured printed straight kurta, has a mandarin collar, three-quarter sleeves, high-low hem, side slits","100% polyesterMachine-wash"
"kurtas/anouk/anouk-women-black-solid-a-line-kurta/1999978/buy","Black solid A-line kurta, has a round neck, short sleeves, straight hem, side slits","100% cotton  Hand-wash"
"kurtas/anouk/anouk-women-red-solid-a-line-kurta/1999990/buy","Red solid A-line kurta, has a round neck, short sleeves, straight hem, side slits","100% cotton  Hand-wash"
"kurtas/anouk/anouk-women-magenta-yoke-design-straight-kurta/1997982/buy","Magenta yoke design straight kurta, has a round neck, three-quarter sleeves, curved hem, side slits","100% polyester Hand-wash"
"kurtas/anouk/anouk-women-yellow-embroidered-a-line-kurta/1997994/buy","Yellow embroidered A-line kurta, has a mandarin collar, three-quarter sleeves, flared hem","100% polyester  Hand-wash"
"kurtas/anouk/anouk-women-red--black-printed-straight-kurta/1679920/buy","Red printed straight kurta, has a round neck, three-quarter sleeves, straight hem","Polyester Machine-wash"
"kurtas/anouk/anouk-pink-solid-a-line-kurta/1681493/buy","Pink solid A-line kurta, has a shirt collar, short sleeves, high-low hem","100% cotton Machine-wash"
"kurtas/anouk/anouk-blue-printed-a-line-kurta/1681356/buy","Green printed kurta, has a v-neck, short sleeves, curved hem","100% cotton Machine-wash"
"kurtas/anouk/anouk-women-maroon--coral-pink-colourblocked-straight-kurta/1415322/buy","Maroon and coral pink colourblocked straight kurta, has a keyhole neckline, three-quarter sleeves, and a straight hem","100% cotton Hand-wash"
"kurtas/anouk/anouk-women-red--navy-blue-printed-a-line-kurta/2037269/buy","Red and navy blue woven design A-line kurta, has a round neck, three-quarter sleeves, curved hem, no slits","85% viscose, 15% polyesterMachine-wash"
"kurtas/anouk/anouk-women-red--gold-toned-printed-straight-kurta/1997991/buy","Red and gold-toned printed straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, multiple slits","100% polyester Hand-wash"
"kurtas/anouk/anouk-women-beige-embroidered-a-line-kurta/2021327/buy","Beige embroidered A-line kurta, has a boat neck, short sleeves, asymmetric hem, front slit","Polyester  Machine-wash"
"kurtas/anouk/anouk-white--blue-printed-kurta/1229104/buy","White and blue printed kurta, has a round neck, three-quarter length sleeves, side slits,&nbsp;lace taping along the hemline","100% cottonHand-wash cold"
"kurtas/anouk/anouk-women-black-printed-straight-kurta/2021319/buy","Black printed straight kurta, has a round neck, short sleeves, straight hem, side slits","100% polyesterHand-wash"
"kurtas/anouk/anouk-women-green--white-printed-straight-kurta/2012151/buy","Green and white printed straight kurta, has a mandarin collar, short sleeves, straight hem, side slits","Polyester  Machine-wash"
"kurtas/anouk/anouk-women-black--beige-printed-straight-kurta/2012158/buy","Black and beige printed straight kurta, has a shirt collar, short sleeves, straight hem, side slits","Viscose Rayon  Machine-wash"
"kurtas/anouk/anouk-women-pink-printed-straight-kurta/2012179/buy","Pink printed straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits","100% rayonMachine-wash"
"kurtas/anouk/anouk-women-pink-printed-straight-high-low-hem-kurta/2012170/buy","Pink printed straight kurta, has a V-neck, sleeveless, high-low hem, side slits","Viscose Rayon  Machine-wash"
"kurtas/anouk/anouk-women-pink-yoke-design-a-line-kurta/1997999/buy","Pink yoke design A-line kurta, has a V-neck, three-quarter sleeves, flared hem, side slits","100% cotton  Hand-wash"
"kurtas/anouk/anouk-women-pink-printed-straight-kurta/1997984/buy","Pink printed straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits","Polyester Hand-wash"
"kurtas/anouk/anouk-women-red-printed-straight-kurta/1999973/buy","Red printed straight kurta, has a mandarin collar, three-quarter sleeves, curved hem, side slits","Cotton  Machine-wash"
"kurtas/anouk/anouk-women-red--cream-coloured-printed-straight-kurta/1999975/buy","Red and cream-coloured printed straight kurta, has a round neck, three-quarter sleeves, straight hem, multiple slits","Cotton  Machine-wash"
"kurtas/anouk/anouk-women-red--cream-coloured-printed-straight-kurta/1999985/buy","Red and cream-coloured printed straight kurta, has a round neck, three-quarter sleeves, straight hem, multiple slits","Cotton  Machine-wash"
"kurtas/anouk/anouk-black--pink-digital-print-kurta/1167490/buy","Black and pink digital print&nbsp;kurta, has a round neck, three-quarter solid sleeves, and&nbsp;side slits","100% polyesterHand-wash cold"
"kurtas/anouk/anouk-women-blue-yoke-design-straight-kurta/2015843/buy","Blue yoke design straight kurta, has a round neck, three-quarter sleeves, straight hem, side slitsManufacturer Info: Shree Ashtavinayak Impex Pvt Ltd.Country of Origin: India","100% cottonHand-wash"
"kurtas/anouk/anouk-women-olive-green--black-printed-a-line-kurta/2015875/buy","Olive green and black printed A-Line kurta, has a mandarin collar, three-quarter sleeves, straight hemManufacturer Info: Shree Ashtavinayak Impex Pvt Ltd.Country of Origin: India","100% cottonHand-wash"
"kurtas/anouk/anouk-women-maroon-printed-a-line-kurta/2015869/buy","Maroon printed A-line kurta, has a mandarin collar, three-quarter sleeves, patch pocket, straight hemManufacturer Info: Shree Ashtavinayak Impex Pvt Ltd.Country of Origin: India","100% cottonHand-wash"
"kurtas/anouk/anouk-women-maroon--black-printed-high-low-kurta/2015842/buy","Maroon and black printed A-line kurta, has a mandarin collar, three-quarter sleeves, high-low hem","100% cottonHand-wash"
"kurtas/anouk/anouk-women-blue--beige-printed-anarkali-kurta/2015841/buy","Blue and beige printed Anarkali kurta, has a round neck, short cold-shoulder sleeves, styled back, flared hemManufacturer Info: Shree Ashtavinayak Impex Pvt Ltd.Country of Origin: India","100% cottonHand-wash"
"kurtas/anouk/anouk-women-pink-checked-a-line-kurta/2323214/buy","Pink checked A-line kurta, has a round neck, three-quarter sleeves, straight hemManufacturer Info: Mokksha clothingCountry of Origin: India","100% cottonHand-wash"
"kurtas/anouk/anouk-women-blue-printed-a-line-high-low-kurta/2012171/buy","Blue printed A-line kurta, has a V-neck, sleeveless, high-low hem, side slits","Viscose Machine-wash"
"kurtas/anouk/anouk-women-black-yoke-design-a-line-kurta/1998000/buy","Black yoke design A-line kurta, has a V-neck, three-quarter sleeves, curved hem, side slits","Cotton  Hand-wash"
"kurtas/anouk/anouk-women-blue--white-printed-straight-kurta/2012169/buy","Blue and white printed straight kurta, has a V-neck, sleeveless, high-low hem, side slits","Viscose Rayon  Machine-wash"
"kurtas/anouk/anouk-women-red-printed-a-line-kurta/1999971/buy","Red printed A-line kurta, has a round neck, three-quarter sleeves, straight hem, side slits","100% cotton  Hand-wash"
"kurtas/anouk/anouk-women-pink-yoke-design-a-line-kurta/2011659/buy","Pink yoke-design A-line kurta, has a mandarin collar, three-quarter sleeves, flared hem, front slit","Polyester  Machine-wash"
"kurtas/anouk/anouk-women-black--off-white-checked-a-line-kurta/2323089/buy","Black and off-white checked A-line kurta, has a round neck, three-quarter sleeves, curved hem, side slits","100% cottonHand-wash"
"kurtas/anouk/anouk-women-maroon-kalamkari-print-a-line-kurta/1708149/buy","Maroon kalamkari print A-line kurta with layered detail, has a round neck, three-quarter sleeves, flared hem","100% viscose Hand-wash"
"kurtas/anouk/anouk-women-blue-printed-a-line-kurta/2322964/buy","Blue printed A-line kurta, has a shirt collar, short sleeves, curved hem, no slits","Cotton Hand-wash"
"kurtas/anouk/anouk-women-multicoloured-printed-a-line-kurta/2322976/buy","Multicoloured printed A-line kurta, has a keyhole neck, three-quarter sleeves, straight hem","100% cottonHand-wash"
"kurtas/anouk/anouk-women-blue--off-white-printed-straight-kurta/2322818/buy","Blue and off-white printed straight kurta, has a round neck, long flared sleeves, straight hem, side slits","100% cottonMachine-wash"
"kurtas/anouk/anouk-women-black-embroidered-a-line-kurta/2322954/buy","Black embroidered A-line kurta, has a round neck, three-quarter sleeves, straight hem","100% cottonHand-wash"
"kurtas/anouk/anouk-women-rust-brown--navy-blue-printed-a-line-kurta/1781585/buy","Rust brown and navy blue printed A-line kurta, has a keyhole neck, long sleeves, flared hem, no slits","100% cottonHand-wash"
"kurtas/anouk/anouk-women-multicoloured-printed-a-line-kurta/2135932/buy","Multicoloured printed A-line kurta, has a mandarin collar, three-quarter sleeves, flared hem","100% cottonHand-wash"
"kurtas/anouk/anouk-women-off-white--green-printed-a-line-kurta/2016822/buy","Off-White and green printed A-line kurta, has a round neck, three-quarter sleeves, flared hem, no slits","Cotton Hand-wash"
"kurtas/anouk/anouk-women-blue-yoke-design-straight-kurta/2322835/buy","Blue yoke design straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, front slit","Cotton Machine-wash"
"kurtas/anouk/anouk-women-black-printed-a-line-kurta/2140460/buy","Black printed A-line kurta, has a shirt collar, three-quarter sleeves, straight hem, side slits","100% cottonHand-wash"
"kurtas/anouk/anouk-women-grey--black-printed-a-line-kurta/2322783/buy","Grey and black printed A-line kurta, has a round neck, three-quarter sleeves, flared hem with tassel detailing, no slits","Cotton  Machine-wash"
"kurtas/anouk/anouk-women-pink-printed-straight-kurta/2038917/buy","Pink printed straight kurta, has a shirt collar, three-quarter sleeves, straight hem, side slits","Viscose and cottonHand-wash"
"kurtas/anouk/anouk-women-off-white-embroidered-a-line-kurta/2012123/buy","Off-White embroidered A-line kurta, has a V-neck, three-quarter sleeves, asymmetric hem, no slits","Cotton  Machine-wash"
"kurtas/anouk/anouk-women-black--peach-coloured-printed-straight-kurta/2012163/buy","Black and peach-coloured printed straight kurta, has a round neck, sleeveless, straight hem, side slits","Polyester  Machine-wash"
"kurtas/anouk/anouk-women-yellow-yoke-design-straight-kurta/1997990/buy","Yellow yoke design straight kurta, has a round neck, long sleeves, straight hem, side slits","100% polyester Hand-wash"
"kurtas/anouk/anouk-women-black-printed-a-line-kurta/2038963/buy","Black printed A-line kurta, has a round neck, three-quarter sleeves, straight hem, no slits","85% viscose, 15% polyesterHand-wash"
"kurtas/anouk/anouk-women-white--blue-printed-a-line-kurta/2012114/buy","White and blue printed A-line kurta, has a round neck, sleeveless, straight hem, side slits","Cotton  Hand-wash"
"kurtas/anouk/anouk-women-navy-printed-straight-kurta/2037263/buy","Navy blue printed straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits","85% viscose and 15% polyester Hand-wash"
"kurtas/anouk/anouk-women-black-printed-straight-kurta/2012165/buy","Black printed straight kurta, has a round neck, sleeveless, straight hem, side slits","Polyester  Machine-wash"
"kurtas/anouk/anouk-women-yellow--green-printed-straight-kurta/1771138/buy","Yellow and green printed straight kurta, has a round neck, sleeveless, straight hem","100% polyester Machine-wash"
"kurtas/anouk/anouk-women-white--pink-printed-a-line-kurta/1926941/buy","White and pink printed A-line kurta, has a mandarin collar, three-quarter sleeves, straight hem","100% cotton Machine-wash"
"kurtas/anouk/anouk-women-pink-printed-a-line-kurta/1997980/buy","Pink printed A-line kurta, has a round neck, three-quarter bell sleeves, straight hem, front slit","Polyester Hand-wash"
"kurtas/anouk/anouk-women-magenta-woven-design-anarkali-kurta/1415586/buy","Magenta woven design Anarkali kurta, has a V-neck, three-quarter sleeves, flared hem","100% cotton  Hand-wash"
"kurtas/anouk/anouk-women-red-solid-straight-kurta/1427171/buy","Red solid straight kurta, has a round neck, three-quarter sleeves, straight hem","100% cotton  Hand-wash"
"kurtas/anouk/anouk-women-white--green-printed-a-line-kurta/1860304/buy","White and green printed A-line kurta, has a shirt collar, short sleeves, curved hem","100% polyester  Machine-wash"
"kurtas/anouk/anouk-women-blue-straight-kurta/1681278/buy","Blue woven straight kurta, has a mandarin collar, a short button placket, three-quarter sleeves, straight hem, side slits","100% cotton Machine-wash"
"kurtas/anouk/anouk-women-cream-coloured--black-printed-kurta/1548544/buy","Cream-coloured and black printed kurta, has a V-neck, three-quarter sleeves with a button-and-tab feature, slits on the front and side, curved high-low hem","100% cotton Machine-wash"
"kurtas/anouk/anouk-women-off-white-printed-a-line-kurta/1860298/buy","Off-white printed A-line kurta, has a round neck, three-quarter sleeves, flared hemDisclaimer: This fusion kurta can also be worn as a dress","100% polyester Machine-wash"
"kurtas/anouk/anouk-women-mustard-yellow-printed-a-line-kurta/2322973/buy","Mustard yellow printed A-line kurta, has a keyhole neck, three-quarter sleeves, flared hem","100% cottonMachine-wash"
