"kurtas/aks/aks-women-grey--blue-printed-straight-kurta/2493377/buy","Grey and blue printed straight kurta, has a keyhole neck, short sleeves, straight hem, side slits","Cotton  Machine-wash"
"kurtas/aks/aks-women-off-white--blue-printed-high-low-a-line-kurta/2463727/buy","Off-white, blue and green printed A-line kurta, has a mandarin collar, short sleeves, button placket, high-low flared hem, front slit","Polyester georgetteMachine-wash"
"kurtas/aks/aks-women-pink--cream-coloured-printed-a-line-kurta/2167344/buy","Pink and cream-coloured printed A-line kurta, has a round neck, three-quarter sleeves, flared hem","Cotton  Machine-wash"
"kurtas/aks/aks-women-navy-blue-printed-detail-a-line-kurta/2250046/buy","Navy blue printed A-line kurta with pleated detail, has a round neck with tie-up detail, short sleeves, flared hem, no slits","Cotton Machine-wash"
"kurtas/aks/aks-women-white-embroidered-detail-chanderi-silk-straight-kurta/2382483/buy","White embroidered detail straight kurta, has a round neck with concealed hook-and-eye closures, three-quarter sleeves, straight hem, side slits","Chanderi silkMachine-wash"
"kurtas/aks/aks-women-green--orange-floral-print-a-line-kurta/2493425/buy","Green and orange printed A-line kurta, has a V-neck, three-quarter sleeves, flared hem","ViscoseMachine-wash"
"kurtas/aks/aks-women-blue--off-white-ethnic-print-straight-kurta/2382499/buy","Blue and off-white ethnic print straight kurta, has a round neck, long flared sleeves with tie-up detail, straight hem, side slits","Cotton Machine-wash"
"kurtas/aks/aks-women-cream-coloured--blue-printed-straight-kurta/2448872/buy","Cream-coloured and blue printed straight kurta, has a round neck, short sleeves, straight hem, side slits, 2 pockets","Cotton Machine-wash"
"kurtas/aks/aks-women-navy-blue-embroidered-straight-kurta/1945064/buy","Navy blue embroidered straight kurta, has a mandarin collar, short button placket, three-quarter sleeves, straight hem, side slits","Viscose  Machine-wash"
"kurtas/aks/aks-women-mustard--maroon-printed-a-line-kurta-with-ethnic-jacket/2250061/buy","Mustard and maroon printed A-line kurta, has a round neck, three-quarter sleeves, flared hem, no slitsComes with a maroon printed jacket","Cotton  Machine-wash"
"kurtas/aks/aks-women-brown--pink-floral-print-off-shoulder-straight-kurta/2111397/buy","Brown printed off-shoulder layered straight kurta, has a straight hem, side slits","Cotton  Machine-wash"
"kurtas/aks/aks-women-green--peach-coloured-printed-straight-kurta/2111395/buy","Green and peach-coloured printed straight kurta, has a round neck, short sleeves, straight hem, side slits","Cotton  Machine-wash"
"kurtas/aks/aks-women-maroon-solid-fringed-a-line-kurta/2111536/buy","Maroon solid fringed A-line kurta, has a round neck, three-quarter sleeves, asymmetric hem","Cotton  Machine-wash"
"kurtas/aks/aks-women-grey--brown-printed-a-line-kurta/2111534/buy","Grey and brown printed A-line kurta, has a round neck, three-quarter sleeves, flared hem, no slits","Viscose Machine-wash"
"kurtas/aks/aks-women-peach-coloured-solid-a-line-kurta/2111420/buy","Peach-coloured solid A-line kurta with printed detail on the back, has a shirt collar, three-quarter sleeves, flared hem, no slits","Cotton  Dry-clean"
"kurtas/aks/aks-women-brown--cream-coloured-printed-anarkali-kurta/2262288/buy","Brown and cream-coloured printed Anarkali kurta with tie-ups, has a round neck, short sleeves, flared hem, no slits","Cotton  Machine-wash"
"kurtas/aks/aks-women-coral-pink--peach-coloured-printed-cold-shoulder-straight-kurta/2111513/buy","Coral pink and peach-coloured printed straight kurta with fringes, has a round neck, three-quarter cold-shoulder sleeves, straight hem, side slits","Cotton  Machine-wash cold"
"kurtas/aks/aks-women-navy-blue--white-embroidered-detail-a-line-kurta/2463709/buy","Navy and white embroidered detail A-line kurta, has a mandarin collar, three-quarter sleeves, flared hem, no slits","Cotton Machine-wash"
