brand,url_part,title,final Price,Original Price
AKS,kurtas/aks/aks-women-mustard-yellow--red-printed-anarkali-kurta/2250031/buy,Printed Anarkali Kurta,809,1799
AKS,kurtas/aks/aks-women-mustard-yellow--off-white-printed-a-line-kurta/2249978/buy,Printed A-Line Kurta,849,1699
AKS,kurtas/aks/aks-women-navy-blue-straight-kurta-with-printed-detail/2111414/buy,Kurta with Printed Detail,604,1099
AKS,kurtas/aks/aks-women-orange-printed-straight-kurta/2167378/buy,Printed Straight Kurta,599,999
AKS,kurtas/aks/aks-women-orange--yellow-printed-cold-shoulder-straight-kurta/2448876/buy,Printed Straight Kurta,599,999
AKS,kurtas/aks/aks-women-brown--off-white-printed-anarkali-kurta/2167340/buy,Printed Anarkali Kurta,749,1499
AKS,kurtas/aks/aks-women-navy--pink-striped-off-shoulder-straight-kurta/2262324/buy,Striped Straight Kurta,599,999
AKS,kurtas/aks/aks-women-rust-solid-a-line-kurta/2127705/buy,Solid A-Line Kurta,649,1299
AKS,kurtas/aks/aks-women-yellow-solid-crepe-off-shoulder-straight-kurta/2095556/buy,Off-Shoulder Straight Kurta,599,799
AKS,kurtas/aks/aks-women-peach-coloured-printed-straight-kurta/2111385/buy,Printed Straight Kurta,604,1099
AKS,kurtas/aks/aks-women-black--green-dyed-anarkali-kurta/2250054/buy,Dyed Anarkali Kurta,815,1599
AKS,kurtas/aks/aks-women-red-anarkali-kurta-with-printed-detail/2262283/buy,Kurta with Printed Detail,749,1499
AKS,kurtas/aks/aks-women-blue--red-checked-angrakha-a-line-kurta/2448905/buy,Checked A-Line Kurta,1049,1499
AKS,kurtas/aks/aks-women-maroon--blue-printed-anarkali-kurta/2250023/buy,Printed Anarkali Kurta,815,1599
AKS,kurtas/aks/aks-women-brown--off-white-printed-a-line-kurta/2250086/buy,Printed A-Line Kurta,649,1299
AKS,kurtas/aks/aks-women-olive-green--blue-printed-straight-kurta/2250073/buy,Printed Straight Kurta,599,1199
AKS,kurtas/aks/aks-women-navy-blue-solid-straight-kurta/2262273/buy,Solid Straight Kurta,604,1099
AKS,kurtas/aks/aks-women-maroon--beige-kalamkari-print-layered-straight-kurta/2448859/buy,Printed Layered Straight Kurta,959,1599
AKS,kurtas/aks/aks-women-cream-coloured--orange-checked-a-line-kurta/1951412/buy,Checked A-Line Kurta,749,1499
AKS,kurtas/aks/aks-women-blue--orange-printed-layered-angrakha-a-line-kurta/2024421/buy,Angrakha A-Line Kurta,1124,2499
AKS,kurtas/aks/aks-women-pink--navy-blue-printed-layered-straight-kurta/2448877/buy,Printed Straight Kurta,959,1599
AKS,kurtas/aks/aks-women-off-white--red-printed-a-line-kurta/2448916/buy,Printed A-Line Kurta,909,1299
AKS,kurtas/aks/aks-women-beige-embroidred-straight-kurta/2111524/buy,Embroidred Straight Kurta,999,1999
AKS,kurtas/aks/aks-women-orange-yoke-design-a-line-kurta/2095450/buy,Yoke Design A-Line Kurta,649,1299
AKS,kurtas/aks/aks-women-beige--black-printed-anarkali-kurta/2262282/buy,Printed Anarkali Kurta,799,1999
AKS,kurtas/aks/aks-women-red--blue-striped-straight-kurta/2448850/buy,Striped Straight Kurta,659,1099
AKS,kurtas/aks/aks-women-blue--white-printed-a-line-kurta/2463743/buy,Printed A-Line Kurta,909,1299
AKS,kurtas/aks/aks-women-yellow--maroon-printed-layered-straight-kurta/2262268/buy,Printed Straight Kurta,604,1099
AKS,kurtas/aks/aks-women-orange--grey-printed-a-line-kurta/2250047/buy,Printed A-Line Kurta,849,1699
AKS,kurtas/aks/aks-women-rust-orange--burgundy-printed-a-line-kurta/2448946/buy,Printed A-Line Kurta,844,1299
AKS,kurtas/aks/aks-women-blue--sea-green-printed-a-line-kurta/2382486/buy,Printed A-Line Kurta,749,1499
AKS,kurtas/aks/aks-women-coral-pink-woven-design-a-line-kurta-with-slit-sleeves/2382496/buy,Woven Design A-Line Kurta,649,1299
AKS,kurtas/aks/aks-women-beige--orange-printed-anarkali-kurta/2167386/buy,Printed Anarkali Kurta,799,1599
AKS,kurtas/aks/aks-women-yellow-solid-straight-kurta/2448887/buy,Solid Straight Kurta,714,1099
AKS,kurtas/aks/aks-women-blue-printed-anarkali-kurta/1945085/buy,Printed Anarkali Kurta,749,1499
AKS,kurtas/aks/aks-women-navy--white-printed-anarkali-kurta/2463742/buy,Printed Anarkali Kurta,1049,1499
AKS,kurtas/aks/aks-women-brown--rust-orange-printed-tiered-anarkali-kurta/2250018/buy,Printed Anarkali Kurta,749,1499
AKS,kurtas/aks/aks-women-red--blue-yoke-design-a-line-kurta/2448930/buy,Yoke Design A-Line Kurta,779,1299
AKS,kurtas/aks/aks-women-pink--off-white-printed-anarkali-kurta/2167345/buy,Printed Anarkali Kurta,799,1599
AKS,kurtas/aks/aks-women-brown--beige-printed-a-line-kurta/2262327/buy,Printed A-Line Kurta,749,1499
AKS,kurtas/aks/aks-women-olive-green--black-printed-a-line-kurta/2250067/buy,Printed A-Line Kurta,649,1299
AKS,kurtas/aks/aks-women-pink-solid-straight-kurta/2262337/buy,Solid Straight Kurta,649,1299
AKS,kurtas/aks/aks-women-blue--off-white-yoke-design-anarkali-kurta/2262300/buy,Yoke Design Anarkali Kurta,649,1299
AKS,kurtas/aks/aks-women-navy--off-white-printed-straight-kurta/2250035/buy,Printed Straight Kurta,599,1199
AKS,kurtas/aks/aks-women-cream-coloured--peach-coloured-printed-a-line-kurta/2250045/buy,Printed A-Line Kurta,649,1299
AKS,kurtas/aks/aks-women-brown-yoke-design-straight-kurta/2463723/buy,Yoke Design Straight Kurta,1039,1599
